Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume,Amplitude,Amplitude,Amplitude
Symbols,U,NVDA,TSLA,U,NVDA,TSLA,U,NVDA,TSLA,U,NVDA,TSLA,U,NVDA,TSLA,U,NVDA,TSLA,U,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,
2012-01-03,,3.222135066986084,1.871999979019165,,3.509999990463257,1.871999979019165,,3.5999999046325684,1.9666670560836792,,3.502500057220459,1.8433330059051514,,3.575000047683716,1.929332971572876,,46804400.0,13921500.0,,0.09749984741210938,0.12333405017852783
2012-01-04,,3.258854866027832,1.8473329544067383,,3.549999952316284,1.8473329544067383,,3.565000057220459,1.9113329648971558,,3.4800000190734863,1.8333330154418945,,3.512500047683716,1.880666971206665,,34737200.0,9451500.0,,0.08500003814697266,0.07799994945526123
2012-01-05,,3.3758981227874756,1.8079999685287476,,3.677500009536743,1.8079999685287476,,3.694999933242798,1.8619999885559082,,3.5174999237060547,1.7899999618530273,,3.5325000286102295,1.8506669998168945,,56354800.0,15082500.0,,0.17750000953674316,0.07200002670288086
2012-01-06,,3.336883068084717,1.7940000295639038,,3.634999990463257,1.7940000295639038,,3.677500009536743,1.852666974067688,,3.5924999713897705,1.7606669664382935,,3.674999952316284,1.8133330345153809,,53325200.0,14794500.0,,0.08500003814697266,0.09200000762939453
2012-01-09,,3.336883068084717,1.8166669607162476,,3.634999990463257,1.8166669607162476,,3.7049999237060547,1.8326669931411743,,3.609999895095825,1.7413330078125,,3.637500047683716,1.7999999523162842,,50824400.0,13455000.0,,0.09500002861022949,0.09133398532867432
2012-01-10,,3.323113203048706,1.841333031654358,,3.619999885559082,1.841333031654358,,3.692500114440918,1.8506669998168945,,3.5950000286102295,1.8166669607162476,,3.690000057220459,1.829332947731018,,54632800.0,10077000.0,,0.09750008583068848,0.03400003910064697
2012-01-11,,3.256558895111084,1.8819999694824219,,3.547499895095825,1.8819999694824219,,3.619999885559082,1.8919999599456787,,3.5325000286102295,1.8200000524520874,,3.5875000953674316,1.841333031654358,,48427200.0,10084500.0,,0.08749985694885254,0.07199990749359131
2012-01-12,,3.235905170440674,1.8833329677581787,,3.5250000953674316,1.8833329677581787,,3.557499885559082,1.9079999923706055,,3.447499990463257,1.8539999723434448,,3.555000066757202,1.8986669778823853,,65236400.0,10939500.0,,0.1099998950958252,0.054000020027160645
2012-01-13,,3.1509897708892822,1.519333004951477,,3.432499885559082,1.519333004951477,,3.507499933242798,1.899999976158142,,3.4149999618530273,1.5093330144882202,,3.5,1.8933329582214355,,50430000.0,82506000.0,,0.09249997138977051,0.3906669616699219
2012-01-17,,3.102796792984009,1.773332953453064,,3.380000114440918,1.773332953453064,,3.484999895095825,1.8226670026779175,,3.375,1.7606669664382935,,3.484999895095825,1.7746670246124268,,62717600.0,69774000.0,,0.1099998950958252,0.06200003623962402
2012-01-18,,3.208364963531494,1.7873330116271973,,3.494999885559082,1.7873330116271973,,3.5225000381469727,1.7920000553131104,,3.427500009536743,1.75,,3.444999933242798,1.7793329954147339,,63267600.0,18903000.0,,0.09500002861022949,0.04200005531311035
2012-01-19,,3.293278932571411,1.784000039100647,,3.5875000953674316,1.784000039100647,,3.5924999713897705,1.8493330478668213,,3.487499952316284,1.7740000486373901,,3.5250000953674316,1.8126670122146606,,60831200.0,18694500.0,,0.10500001907348633,0.07533299922943115
2012-01-20,,3.263444185256958,1.773332953453064,,3.555000066757202,1.773332953453064,,3.625,1.7999999523162842,,3.5425000190734863,1.7599999904632568,,3.5824999809265137,1.7933330535888672,,54627200.0,9934500.0,,0.08249998092651367,0.039999961853027344
2012-01-23,,3.35294771194458,1.7846670150756836,,3.6524999141693115,1.7846670150756836,,3.6549999713897705,1.8140000104904175,,3.512500047683716,1.773332953453064,,3.557499885559082,1.7873330116271973,,56279200.0,8919000.0,,0.1424999237060547,0.040667057037353516
2012-01-24,,3.4286811351776123,1.8279999494552612,,3.734999895095825,1.8279999494552612,,3.75,1.8453329801559448,,3.625,1.762666940689087,,3.627500057220459,1.775333046913147,,73092000.0,12870000.0,,0.125,0.08266603946685791
2012-01-25,,3.408026933670044,1.8646670579910278,,3.7125000953674316,1.8646670579910278,,3.7225000858306885,1.8673330545425415,,3.5299999713897705,1.803333044052124,,3.634999990463257,1.8179999589920044,,127415200.0,9168000.0,,0.19250011444091797,0.06400001049041748
2012-01-26,,3.3758981227874756,1.929332971572876,,3.677500009536743,1.929332971572876,,3.809999942779541,1.972000002861023,,3.6575000286102295,1.8666670322418213,,3.7674999237060547,1.8713330030441284,,79967200.0,19066500.0,,0.15249991416931152,0.10533297061920166
2012-01-27,,3.4217967987060547,1.9553329944610596,,3.7274999618530273,1.9553329944610596,,3.747499942779541,1.9813330173492432,,3.625,1.899999976158142,,3.6549999713897705,1.899999976158142,,44999600.0,11226000.0,,0.12249994277954102,0.08133304119110107
2012-01-30,,3.396552324295044,1.9713330268859863,,3.700000047683716,1.9713330268859863,,3.7174999713897705,1.9739999771118164,,3.6075000762939453,1.9019999504089355,,3.6624999046325684,1.965999960899353,,39907600.0,10935000.0,,0.1099998950958252,0.07200002670288086
2012-01-31,,3.389667272567749,1.937999963760376,,3.692500114440918,1.937999963760376,,3.7125000953674316,2.0,,3.627500057220459,1.9246670007705688,,3.7100000381469727,1.9933329820632935,,35790000.0,14346000.0,,0.08500003814697266,0.07533299922943115
2012-02-01,,3.426386833190918,1.972000002861023,,3.7325000762939453,1.972000002861023,,3.7750000953674316,1.9800000190734863,,3.682499885559082,1.9333330392837524,,3.734999895095825,1.937999963760376,,42802000.0,7848000.0,,0.09250020980834961,0.04666697978973389
2012-02-02,,3.5549044609069824,2.016666889190674,,3.872499942779541,2.016666889190674,,3.887500047683716,2.058666944503784,,3.7149999141693115,1.9739999771118164,,3.752500057220459,1.9813330173492432,,69623600.0,12085500.0,,0.1725001335144043,0.08466696739196777
2012-02-03,,3.63063907623291,2.076667070388794,,3.9549999237060547,2.076667070388794,,3.987499952316284,2.0886669158935547,,3.922499895095825,2.016666889190674,,3.930000066757202,2.0273330211639404,,49523200.0,11467500.0,,0.06500005722045898,0.07200002670288086
2012-02-06,,3.6030988693237305,2.119999885559082,,3.924999952316284,2.119999885559082,,3.940000057220459,2.126667022705078,,3.890000104904175,2.069999933242798,,3.934999942779541,2.0733330249786377,,27886800.0,9781500.0,,0.04999995231628418,0.05666708946228027
2012-02-07,,3.612278938293457,2.1066670417785645,,3.934999942779541,2.1066670417785645,,3.9574999809265137,2.119999885559082,,3.865000009536743,2.0546669960021973,,3.930000066757202,2.119999885559082,,41029600.0,15324000.0,,0.09249997138977051,0.06533288955688477
2012-02-08,,3.7430927753448486,2.128667116165161,,4.077499866485596,2.128667116165161,,4.15500020980835,2.134000062942505,,3.9149999618530273,2.0859999656677246,,3.934999942779541,2.1066670417785645,,84761200.0,9355500.0,,0.24000024795532227,0.04800009727478027
